Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
precision,DESKL (Baseline),DESKL (Cost-sensitive + Minimum Expected Cost),0.6448160286885395,6.578382494132264,2.2708405106167227e-09,True,Better
precision,DESKL (Baseline),DESKL (Cost-sensitive + Standard Threshold),0.5040667857760649,5.007123393238955,2.4092882960783186e-06,True,Better
precision,DESKL (Baseline),DESKL (SMOTE + Minimum Expected Cost),0.6448160286885395,6.571920800834182,2.3405039652051322e-09,True,Better
precision,DESKL (Baseline),DESKL (SMOTE + Standard Threshold),0.35290374210710634,3.326322080956268,0.0012356389498841469,True,Better
precision,DESKL (Baseline),KNORAE (Baseline),0.3278625608623591,2.85567572565833,0.0052328031110145095,True,Better
precision,DESKL (Baseline),KNORAE (Cost-sensitive + Minimum Expected Cost),0.642082658199405,6.547742404891779,2.620425506298305e-09,True,Better
precision,DESKL (Baseline),KNORAE (Cost-sensitive + Standard Threshold),0.4773126755342748,4.728478030207813,7.507134919439948e-06,True,Better
precision,DESKL (Baseline),KNORAE (SMOTE + Minimum Expected Cost),0.6443648881218201,6.5715425058368,2.3446471936298876e-09,True,Better
precision,DESKL (Baseline),KNORAE (SMOTE + Standard Threshold),0.47806621738323113,4.673995021524244,9.335852612507927e-06,True,Better
precision,DESKL (Baseline),LogisticRegression (Baseline),0.19188947287571023,1.715287160494055,0.08942094206277096,False,No Diff
precision,DESKL (Baseline),LogisticRegression (Cost-sensitive + Minimum Expected Cost),0.6289775860599461,6.4197150594930585,4.754204505553934e-09,True,Better
precision,DESKL (Baseline),LogisticRegression (Cost-sensitive + Standard Threshold),0.4908402128422534,4.904935977526984,3.6701184784044003e-06,True,Better
precision,DESKL (Baseline),LogisticRegression (SMOTE + Minimum Expected Cost),0.6177240953340692,6.237360229266701,1.1022009468363185e-08,True,Better
precision,DESKL (Baseline),LogisticRegression (SMOTE + Standard Threshold),0.4227216894879278,4.363512391705377,3.1448068819735624e-05,True,Better
precision,DESKL (Baseline),METADES (Baseline),0.19826874514374515,1.3193158913503418,0.19010672110045546,False,No Diff
precision,DESKL (Baseline),METADES (Cost-sensitive + Minimum Expected Cost),0.6448160286885395,6.5675778086295304,2.388508615486581e-09,True,Better
precision,DESKL (Baseline),METADES (Cost-sensitive + Standard Threshold),0.45189224260273075,4.562613641267126,1.451345687609001e-05,True,Better
precision,DESKL (Baseline),METADES (SMOTE + Minimum Expected Cost),0.6447543785714722,6.5646669863845695,2.4212264424812277e-09,True,Better
precision,DESKL (Baseline),METADES (SMOTE + Standard Threshold),0.3735417556070121,3.6903631141847746,0.0003663629120351096,True,Better
precision,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Baseline),-0.6448160286885395,-6.578382494132264,2.2708405106167227e-09,True,Worse
precision,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (Cost-sensitive + Standard Threshold),-0.14074924291247456,-8.36322193925574,3.9753297200350665e-13,True,Worse
precision,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Minimum Expected Cost),0.0,0.0,1.0,False,No Diff
precision,DESKL (Cost-sensitive + Minimum Expected Cost),DESKL (SMOTE + Standard Threshold),-0.2919122865814331,-8.316919572256705,5.002968076800537e-13,True,Worse
precision,DESKL (Cost-sensitive + Minimum Expected Cost),KNORAE (Baseline),-0.3169534678261804,-5.52516783905467,2.666242968850974e-07,True,Worse
precision,DESKL (Cost-sensitive + Minimum Expected Cost),KNORAE (Cost-sensitive + Minimum Expected Cost),-0.0027333704891344124,-1.4100928673715651,0.16164635041789768,False,No Diff
precision,DESKL (Cost-sensitive + Minimum Expected Cost),KNORAE (Cost-sensitive + Standard Threshold),-0.16750335315426465,-8.978500581527548,1.84512280084617e-14,True,Worse
precision,DESKL (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Minimum Expected Cost),-0.00045114056671929914,-0.3895791833637884,0.6976845506206629,False,No Diff
precision,DESKL (Cost-sensitive + Minimum Expected Cost),KNORAE (SMOTE + Standard Threshold),-0.16674981130530833,-7.57036404323052,1.9738015263892554e-11,True,Worse
precision,DESKL (Cost-sensitive + Minimum Expected Cost),LogisticRegression (Baseline),-0.45292655581282926,-9.940473908404861,1.475242923689793e-16,True,Worse
precision,DESKL (Cost-sensitive + Minimum Expected Cost),LogisticRegression (Cost-sensitive + Minimum Expected Cost),-0.015838442628593324,-4.111604616787717,8.120143700136673e-05,True,Worse
precision,DESKL (Cost-sensitive + Minimum Expected Cost),LogisticRegression (Cost-sensitive + Standard Threshold),-0.15397581584628608,-11.0290786092562,6.315558921071465e-19,True,Worse
precision,DESKL (Cost-sensitive + Minimum Expected Cost),LogisticRegression (SMOTE + Minimum Expected Cost),-0.027091933354470188,-4.198683636811122,5.872677664205041e-05,True,Worse
precision,DESKL (Cost-sensitive + Minimum Expected Cost),LogisticRegression (SMOTE + Standard Threshold),-0.22209433920061164,-13.195690804734811,1.521649644963694e-23,True,Worse
precision,DESKL (Cost-sensitive + Minimum Expected Cost),METADES (Baseline),-0.44654728354479434,-4.470215319825574,2.0830841880631437e-05,True,Worse
